Common Name,Scientific Name,Asmt Year,Stock Assessment Area,Stock Status Area,Council,Council Abbv,FMP,Assessment Model,Assessment Model Type,Science Center Region,Rebuilding Program Status,SI stock boundaries,SI data prep,SI model,SI sci advice,SI other,,,,,,,,,,,,
Yellow-edged lyretail,Variola louti,2023,American Samoa,American Samoa,Western Pacific Fisheries Management Council,WPFMC,American Samoa Archipelago Ecosystem,SS,4,Pacific Islands,,,,,,,,,,,,,,,,,,
Yellowfin tuna,Thunnus albacares,2020,Eastern Tropical Pacific,Eastern Tropical Pacific,,PFMC-WPFMC,U.S. West Coast Fisheries for Highly Migratory Species / Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem,3.30.15,0,"Pacific Islands, IATTC",,0,1,1,0,1,,,,,,,,,,,,
Yellowfin tuna,Thunnus albacares,2023,Central Western Pacific,Central Western Pacific,,PFMC-WPFMC,U.S. West Coast Fisheries for Highly Migratory Species / Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem,Multifan-CL,4,"Pacific Islands, IATTC",,,,,,,,,,,,,,,,,,
Goliath grouper,Epinephelus itajara,1999,Caribbean,Caribbean,Caribbean Fisheries Management Council,CFMC,Caribbean Reef Fish FMP,na,0,Southeast,Rebuilding,,,,,,,,,,,,,,,,,
Nassau grouper,Epinephelus striatus,1992,Caribbean,Caribbean,Caribbean Fisheries Management Council,CFMC,Caribbean Reef Fish FMP,Length-frequency Analysis,1,Southeast,Rebuilding,,,,,,,,,,,,,,,,,
Gag,Mycteroperca microlepis,2023,Gulf of Mexico,Gulf of Mexico,Gulf of Mexico Fisheries Management Council,GMFMC,Gulf of Mexico Reef Fish FMP,SS,4,Southeast,Rebuilding,0,0,0,0,0,,,,,,,,,,,,
Red snapper,Lutjanus campechanus,2021,Gulf of Mexico,Gulf of Mexico,Gulf of Mexico Fisheries Management Council,GMFMC,Gulf of Mexico Reef Fish FMP,SS,4,Southeast,Rebuilding,1,1,1,0,0,,,,,,,,,,,,
Gray triggerfish,Balistes capriscus,2020,Gulf of Mexico,Gulf of Mexico,Gulf of Mexico Fisheries Management Council,GMFMC,Gulf of Mexico Reef Fish FMP,SS,4,Southeast,Rebuilding,,,,,,,,,,,,,,,,,
Greater amberjack,Seriola dumerili,2021,Gulf of Mexico,Gulf of Mexico,Gulf of Mexico Fisheries Management Council,GMFMC,Gulf of Mexico Reef Fish FMP,SS,4,Southeast,Rebuilding,,,,,,,,,,,,,,,,,
Blacknose shark,Carcharhinus acronotus,2011,Atlantic,Atlantic,Highly Migratory Species; International Convention for the Conservation of Atlantic Tuna,"NOAA HMS, ICCAT",Atlantic/Gulf HMS FMP,State-space age-structured production model,5,Southeast,Rebuilding,,,,,,,,,,,,,,,,,
Dusky shark,Carcharhinus obscurus,2016,Atlantic,Atlantic and Gulf of Mexico,Highly Migratory Species; International Convention for the Conservation of Atlantic Tuna,"NOAA HMS, ICCAT",Atlantic/Gulf HMS FMP,ASCFM,4,Southeast,Rebuilding,,,,,,,,,,,,,,,,,
Sandbar shark,Carcharhinus plumbeus,2018,Atlantic,Atlantic and Gulf of Mexico,Highly Migratory Species; International Convention for the Conservation of Atlantic Tuna,"NOAA HMS, ICCAT",Atlantic/Gulf HMS FMP,"SS, Length-based Age Structured Model",4,Southeast,Rebuilding,,,,,,,,,,,,,,,,,
Shortfin mako,Isurus oxyrinchus,2017,Atlantic,Atlantic,Highly Migratory Species; International Convention for the Conservation of Atlantic Tuna,"NOAA HMS, ICCAT",Atlantic/Gulf HMS FMP,"JABBA, SS3","2, 4",Southeast,Rebuilding,,,,,,,,,,,,,,,,,
Red snapper,Lutjanus campechanus,2021,Southern Atlantic Coast,Southern Atlantic Coast,South Atlantic Fisheries Management Council,SAFMC,South Atlantic Snapper Grouper FMP,BAM,4,Southeast,Rebuilding,0,1,0,0,1,,,,,,,,,,,,
Gag,Mycteroperca microlepis,2021,Southern Atlantic Coast,Southern Atlantic Coast,South Atlantic Fisheries Management Council,SAFMC,South Atlantic Snapper Grouper FMP,BAM,4,Southeast,Rebuilding,,,,,,,,,,,,,,,,,
Hogfish,Lachnolaimus maximus,2014,Southeast Florida,Florida Keys / East Florida,South Atlantic Fisheries Management Council,SAFMC,South Atlantic Snapper Grouper FMP,SS3,4,Southeast,Rebuilding,,,,,,,,,,,,,,,,,
Red grouper,Epinephelus morio,2017,Southern Atlantic Coast,Southern Atlantic Coast,South Atlantic Fisheries Management Council,SAFMC,South Atlantic Snapper Grouper FMP,BAM,4,Southeast,Rebuilding,,,,,,,,,,,,,,,,,
Red porgy,Pagrus pagrus,2020,Southern Atlantic Coast,Southern Atlantic Coast,South Atlantic Fisheries Management Council,SAFMC,South Atlantic Snapper Grouper FMP,BAM,4,Southeast,Rebuilding,,,,,,,,,,,,,,,,,
Snowy grouper,Epinephelus niveatus,2021,Southern Atlantic Coast,Southern Atlantic Coast,South Atlantic Fisheries Management Council,SAFMC,South Atlantic Snapper Grouper FMP,BAM,4,Southeast,Rebuilding,,,,,,,,,,,,,,,,,
Caribbean spiny lobster,Panulirus argus,2022,Puerto Rico,Puerto Rico,Caribbean Fisheries Management Council,CFMC,Caribbean Spiny Lobster FMP,SS,4,Southeast,,,,,,,,,,,,,,,,,,
Caribbean spiny lobster,Panulirus argus,2010,Southern Atlantic Coast / Gulf of Mexico,Southern Atlantic Coast / Gulf of Mexico,Caribbean Fisheries Management Council,CFMC,Spiny Lobster FMP,SS,4,Southeast,,,,,,,,,,,,,,,,,,
Caribbean spiny lobster,Panulirus argus,2022,St. Croix,St. Croix,Caribbean Fisheries Management Council,CFMC,Caribbean Spiny Lobster FMP,SS,4,Southeast,,,,,,,,,,,,,,,,,,
Caribbean spiny lobster,Panulirus argus,2022,St. Thomas / St. John,St. Thomas / St. John,Caribbean Fisheries Management Council,CFMC,Caribbean Spiny Lobster FMP,SS,4,Southeast,,,,,,,,,,,,,,,,,,
Queen triggerfish,Balistes vetula,2022,Puerto Rico,Puerto Rico,Caribbean Fisheries Management Council,CFMC,Caribbean Reef Fish FMP,SS,4,Southeast,,,,,,,,,,,,,,,,,,
Queen triggerfish,Balistes vetula,2022,St. Croix,St. Croix,Caribbean Fisheries Management Council,CFMC,Caribbean Reef Fish FMP,SS,4,Southeast,,,,,,,,,,,,,,,,,,
Red hind,Epinephelus guttatus,2014,Caribbean,Caribbean,Caribbean Fisheries Management Council,CFMC,Caribbean Reef Fish FMP,Non-Equilibrium Mean Length Estimator,1,Southeast,,,,,,,,,,,,,,,,,,
Pink shrimp,Farfantepenaeus duorarum,2019,Gulf of Mexico,Gulf of Mexico,Gulf of Mexico Fisheries Management Council,GMFMC,Shrimp FMP,SS,4,Southeast,,0,1,0,0,0,,,,,,,,,,,,
Scamp,Mycteroperca phenax,2022,Gulf of Mexico,Gulf of Mexico,Gulf of Mexico Fisheries Management Council,GMFMC,Gulf of Mexico Reef Fish FMP,SS,4,Southeast,,0,1,0,0,1,,,,,,,,,,,,
Spanish mackerel,Scomberomorus maculatus,2023,Gulf of Mexico,Gulf of Mexico,Gulf of Mexico Fisheries Management Council,GMFMC,Gulf of Mexico Reef Fish FMP,SS,4,Southeast,,0,0,0,0,1,,,,,,,,,,,,
White shrimp,Litopenaeus setiferus,2019,Gulf of Mexico,Gulf of Mexico,Gulf of Mexico Fisheries Management Council,GMFMC,Shrimp FMP,SS,4,Southeast,,0,1,0,0,0,,,,,,,,,,,,
Vermilion snapper,Rhomboplites aurorubens,2023,Gulf of Mexico,Gulf of Mexico,Gulf of Mexico Fisheries Management Council,GMFMC,Gulf of Mexico Reef Fish FMP,SS,4,Southeast,,1,1,1,0,NA,,,,,,,,,,,,
Yellowedge grouper,Epinephelus flavolimbatus,2024,Gulf of Mexico,Gulf of Mexico,Gulf of Mexico Fisheries Management Council,GMFMC,Gulf of Mexico Reef Fish FMP,SS,4,Southeast,,1,1,1,0,0,,,,,,,,,,,,
Goliath grouper,Epinephelus itajara,2016,Gulf of Mexico,Southern Atlantic Coast / Gulf of Mexico,Gulf of Mexico Fisheries Management Council,GMFMC,Gulf of Mexico Reef Fish FMP,"Catch Free Model, SSRA",4,Southeast,,,,,,,,,,,,,,,,,,
Gray snapper,Lutjanus griseus,2022,Gulf of Mexico,Gulf of Mexico,Gulf of Mexico Fisheries Management Council,GMFMC,Gulf of Mexico Reef Fish FMP,SS,4,Southeast,,,,,,,,,,,,,,,,,,
Lane snapper,Lutjanus synagris,2023,Gulf of Mexico,Gulf of Mexico,Gulf of Mexico Fisheries Management Council,GMFMC,Gulf of Mexico Reef Fish FMP,DLMtool,1,Southeast,,,,,,,,,,,,,,,,,,
Nassau grouper,Epinephelus striatus,1999,Gulf of Mexico,Southern Atlantic Coast / Gulf of Mexico,Gulf of Mexico Fisheries Management Council,GMFMC,Gulf of Mexico Reef Fish FMP,unknown,0,Southeast,,,,,,,,,,,,,,,,,,
Red drum,Sciaenops ocellatus,2000,Gulf of Mexico,Gulf of Mexico,Gulf of Mexico Fisheries Management Council,GMFMC,Red Drum FMP,unknown,0,Southeast,,,,,,,,,,,,,,,,,,
Red grouper,Epinephelus morio,2024,Gulf of Mexico,Gulf of Mexico,Gulf of Mexico Fisheries Management Council,GMFMC,Gulf of Mexico Reef Fish FMP,SS,4,Southeast,,,,,,,,,,,,,,,,,,
Royal red shrimp,Pleoticus robustus,2020,Gulf of Mexico,Gulf of Mexico,Gulf of Mexico Fisheries Management Council,GMFMC,Shrimp FMP,Index Method,2,Southeast,,,,,,,,,,,,,,,,,,
Tilefish,Lopholatilus chamaeleonticeps,2011,Gulf of Mexico,Gulf of Mexico,Gulf of Mexico Fisheries Management Council,GMFMC,Gulf of Mexico Reef Fish FMP,SS3,4,Southeast,,,,,,,,,,,,,,,,,,
Cobia,Rachycentron canadum,2020,Gulf of Mexico,Gulf of Mexico,,GMFMC-SAFMC,Coastal Migratory Pelagic FMP,SS,4,Southeast,,,,,,,,,,,,,,,,,,
King mackerel,Scomberomorus cavalla,2023,Gulf of Mexico,Gulf of Mexico,,GMFMC-SAFMC,Coastal Migratory Pelagic FMP,SS,4,Southeast,,,,,,,,,,,,,,,,,,
King mackerel,Scomberomorus cavalla,2020,Southern Atlantic Coast,Southern Atlantic Coast,,GMFMC-SAFMC,Coastal Migratory Pelagics FMP,SS,4,Southeast,,,,,,,,,,,,,,,,,,
Spanish mackerel,Scomberomorus maculatus,2023,Southern Atlantic Coast,Southern Atlantic Coast,,GMFMC-SAFMC,Coastal Migratory Pelagics FMP,BAM,4,Southeast,,,,,,,,,,,,,,,,,,
Blueline tilefish,Caulolatilus microps,2018,Mid-Atlantic Coast,Mid-Atlantic Coast,Mid-Atlantic Fisheries Management Council,MAFMC,Golden and Blueline Tilefish FMP,Catch only,1,Southeast,,,,,,,,,,,,,,,,,,
Bluefin tuna,Thunnus thynnus,2021,Western Atlantic,Western Atlantic,ICCAT,NOAA,Atlantic/Gulf HMS FMP,SS,4,Southeast,,1,1,1,1,1,,,,,,,,,,,,
Atlantic sharpnose shark,Rhizoprionodon terraenovae,2013,Gulf of Mexico,Gulf of Mexico,,NOAA,Atlantic/Gulf HMS FMP,State-space age-structured production model,5,Southeast,,,,,,,,,,,,,,,,,,
Blacknose shark,Carcharhinus acronotus,2011,Gulf of Mexico,Gulf of Mexico,,NOAA,Atlantic/Gulf HMS FMP,State-space age-structured production model,5,Southeast,,,,,,,,,,,,,,,,,,
Blacktip shark,Carcharhinus limbatus,2018,Gulf of Mexico,Gulf of Mexico,,NOAA,Atlantic/Gulf HMS FMP,SS,4,Southeast,,,,,,,,,,,,,,,,,,
Multispecies Complex,Gulf Smoothhound Complex,2015,Gulf of Mexico,Gulf of Mexico,,NOAA,Atlantic/Gulf HMS FMP,State-Space Bayesian Surplus Production Model,5,Southeast,,,,,,,,,,,,,,,,,,
Atlantic sharpnose shark,Rhizoprionodon terraenovae,2013,Atlantic,Atlantic,Highly Migratory Species; International Convention for the Conservation of Atlantic Tuna,"NOAA HMS, ICCAT",Atlantic/Gulf HMS FMP,SS,4,Southeast,,,,,,,,,,,,,,,,,,
Blacktip shark,Carcharhinus limbatus,2021,Atlantic,Atlantic,Highly Migratory Species; International Convention for the Conservation of Atlantic Tuna,"NOAA HMS, ICCAT",Atlantic/Gulf HMS FMP,SS,4,Southeast,,,,,,,,,,,,,,,,,,
Finetooth shark,Carcharhinus isodon,2007,Atlantic,Atlantic and Gulf of Mexico,Highly Migratory Species; International Convention for the Conservation of Atlantic Tuna,"NOAA HMS, ICCAT",Atlantic/Gulf HMS FMP,BSP,2,Southeast,,,,,,,,,,,,,,,,,,
Smooth dogfish,Mustelus canis,2015,Atlantic,Atlantic,Highly Migratory Species; International Convention for the Conservation of Atlantic Tuna,"NOAA HMS, ICCAT",Atlantic/Gulf HMS FMP,SS,4,Southeast,,,,,,,,,,,,,,,,,,
Brown shrimp,Farfantepenaeus aztecus,2019,Gulf of Mexico,Gulf of Mexico,South Atlantic Fisheries Management Council,SAFMC,Shrimp FMP,Index Method,2,Southeast,,0,1,0,0,0,,,,,,,,,,,,
Gray triggerfish,Balistes capriscus,2016,Southern Atlantic Coast,Southern Atlantic Coast,South Atlantic Fisheries Management Council,SAFMC,South Atlantic Snapper Grouper FMP,BAM,4,Southeast,,0,1,1,1,1,,,,,,,,,,,,
Tilefish,Lopholatilus chamaeleonticeps,2021,Southern Atlantic Coast,Southern Atlantic Coast,South Atlantic Fisheries Management Council,SAFMC,South Atlantic Snapper Grouper FMP,ASAP,4,Southeast,,0,0,0,0,0,,,,,,,,,,,,
Black sea bass,Centropristis striata,2023,Southern Atlantic Coast,Southern Atlantic Coast,South Atlantic Fisheries Management Council,SAFMC,South Atlantic Snapper Grouper FMP,BAM,4,Southeast,,1,1,1,0,0,,,,,,,,,,,,
Scamp,Mycteroperca phenax,2023,Southern Atlantic Coast,Southern Atlantic Coast,South Atlantic Fisheries Management Council,SAFMC,South Atlantic Snapper Grouper FMP,BAM,4,Southeast,,1,1,0,0,1,,,,,,,,,,,,
Mutton snapper,Lutjanus analis,2015,Southern Atlantic Coast / Gulf of Mexico,Southern Atlantic Coast / Gulf of Mexico,South Atlantic Fisheries Management Council,SAFMC,South Atlantic Snapper Grouper FMP,ASAP,4,Southeast,,NA,1,1,0,0,,,,,,,,,,,,
Yellowtail snapper,Ocyurus chrysurus,2022,Southern Atlantic Coast / Gulf of Mexico,Southern Atlantic Coast / Gulf of Mexico,South Atlantic Fisheries Management Council,SAFMC,South Atlantic Snapper Grouper FMP,SS,4,Southeast,,NA,1,0,0,0,,,,,,,,,,,,
Black grouper,Mycteroperca bonaci,2010,Southern Atlantic Coast / Gulf of Mexico,Southern Atlantic Coast / Gulf of Mexico,South Atlantic Fisheries Management Council,SAFMC,South Atlantic Snapper Grouper FMP,Catch Curve,1,Southeast,,,,,,,,,,,,,,,,,,
Blueline tilefish,Caulolatilus microps,2017,Southern Atlantic Coast,Southern Atlantic Coast,South Atlantic Fisheries Management Council,SAFMC,South Atlantic Snapper Grouper FMP,ASPIC,1,Southeast,,,,,,,,,,,,,,,,,,
Brown rock shrimp,Sicyonia brevirostris,2018,Southern Atlantic Coast,Southern Atlantic Coast,South Atlantic Fisheries Management Council,SAFMC,Shrimp FMP,Index Method,2,Southeast,,,,,,,,,,,,,,,,,,
Brown shrimp,Farfantepenaeus aztecus,2018,Southern Atlantic Coast,Southern Atlantic Coast,South Atlantic Fisheries Management Council,SAFMC,Shrimp FMP,Survey Abundance,1,Southeast,,,,,,,,,,,,,,,,,,
Dolphinfish,Coryphaena hippurus,2000,Southern Atlantic Coast,Southern Atlantic Coast,South Atlantic Fisheries Management Council,SAFMC,Dolphin Wahoo FMP,Unknown,0,Southeast,,,,,,,,,,,,,,,,,,
Golden deepsea crab,Chaceon fenneri,2000,Southern Atlantic Coast,Southern Atlantic Coast,South Atlantic Fisheries Management Council,SAFMC,Golden Crab FMP,Production Model,2,Southeast,,,,,,,,,,,,,,,,,,
Goliath grouper,Epinephelus itajara,2004,Southern Atlantic Coast,Southern Atlantic Coast / Gulf of Mexico,South Atlantic Fisheries Management Council,SAFMC,South Atlantic Snapper Grouper FMP,na,0,Southeast,,,,,,,,,,,,,,,,,,
Goliath grouper,Epinephelus itajara,2016,Southern Atlantic Coast / Gulf of Mexico,Southern Atlantic Coast / Gulf of Mexico,South Atlantic Fisheries Management Council,SAFMC,South Atlantic Snapper Grouper FMP,SSRA,1,Southeast,,,,,,,,,,,,,,,,,,
Gray snapper,Lutjanus griseus,1993,Southern Atlantic Coast,Southern Atlantic Coast,South Atlantic Fisheries Management Council,SAFMC,South Atlantic Snapper Grouper FMP,Unknown,0,Southeast,,,,,,,,,,,,,,,,,,
Greater amberjack,Seriola dumerili,2020,Southern Atlantic Coast,Southern Atlantic Coast,South Atlantic Fisheries Management Council,SAFMC,South Atlantic Snapper Grouper FMP,BAM,4,Southeast,,,,,,,,,,,,,,,,,,
Hogfish,Lachnolaimus maximus,2018,Eastern Gulf of Mexico,Eastern Gulf of Mexico,South Atlantic Fisheries Management Council,SAFMC,South Atlantic Snapper Grouper FMP,SS,4,Southeast,,,,,,,,,,,,,,,,,,
Hogfish,Lachnolaimus maximus,2014,Carolinas,Carolinas,South Atlantic Fisheries Management Council,SAFMC,South Atlantic Snapper Grouper FMP,SS3,4,Southeast,,,,,,,,,,,,,,,,,,
Lane snapper,Lutjanus synagris,1992,Southern Atlantic Coast,Southern Atlantic Coast,South Atlantic Fisheries Management Council,SAFMC,South Atlantic Snapper Grouper FMP,unknown,0,Southeast,,,,,,,,,,,,,,,,,,
Mutton snapper,Lutjanus analis,1993,Southern Atlantic Coast,Southern Atlantic Coast,South Atlantic Fisheries Management Council,SAFMC,South Atlantic Snapper Grouper FMP,ASAP,4,Southeast,,,,,,,,,,,,,,,,,,
Nassau grouper,Epinephelus striatus,1999,Southern Atlantic Coast,Southern Atlantic Coast / Gulf of Mexico,South Atlantic Fisheries Management Council,SAFMC,South Atlantic Snapper Grouper FMP,unknown,0,Southeast,,,,,,,,,,,,,,,,,,
Pink shrimp,Farfantepenaeus duorarum,2018,Southern Atlantic Coast,Southern Atlantic Coast,South Atlantic Fisheries Management Council,SAFMC,Shrimp FMP,Index Method,2,Southeast,,,,,,,,,,,,,,,,,,
Speckled hind,Epinephelus drummondhayi,2001,Southern Atlantic Coast,Southern Atlantic Coast,South Atlantic Fisheries Management Council,SAFMC,South Atlantic Snapper Grouper FMP,Catch Curve,1,Southeast,,,,,,,,,,,,,,,,,,
Vermilion snapper,Rhomboplites aurorubens,2018,Southern Atlantic Coast,Southern Atlantic Coast,South Atlantic Fisheries Management Council,SAFMC,South Atlantic Snapper Grouper FMP,Beaufort Statistical Catch-at-Age Model,4,Southeast,,,,,,,,,,,,,,,,,,
Wahoo,Acanthocybium solandri,2000,Southern Atlantic Coast,Southern Atlantic Coast,South Atlantic Fisheries Management Council,SAFMC,Dolphin Wahoo FMP,unknown,0,Southeast,,,,,,,,,,,,,,,,,,
Warsaw grouper,Epinephelus nigritus,2001,Southern Atlantic Coast,Southern Atlantic Coast,South Atlantic Fisheries Management Council,SAFMC,South Atlantic Snapper Grouper FMP,unknown,0,Southeast,,,,,,,,,,,,,,,,,,
White grunt,Haemulon plumierii,2000,Southern Atlantic Coast,Southern Atlantic Coast,South Atlantic Fisheries Management Council,SAFMC,South Atlantic Snapper Grouper FMP,unknown,0,Southeast,,,,,,,,,,,,,,,,,,
White shrimp,Litopenaeus setiferus,2018,Southern Atlantic Coast,Southern Atlantic Coast,South Atlantic Fisheries Management Council,SAFMC,Shrimp FMP,Survey Abundance,2,Southeast,,,,,,,,,,,,,,,,,,
Wreckfish,Polyprion americanus,2014,Southern Atlantic Coast,Southern Atlantic Coast,South Atlantic Fisheries Management Council,SAFMC,South Atlantic Snapper Grouper FMP,"SCAA, Dynamic Production Model",4,Southeast,,,,,,,,,,,,,,,,,,
Yellowedge grouper,Epinephelus flavolimbatus,2001,Southern Atlantic Coast,Southern Atlantic Coast,South Atlantic Fisheries Management Council,SAFMC,South Atlantic Snapper Grouper FMP,unknown,0,Southeast,,,,,,,,,,,,,,,,,,
Porbeagle,Lamna nasus,2021,Atlantic,Northwestern Atlantic Coast,Highly Migratory Species; International Convention for the Conservation of Atlantic Tuna,"NOAA HMS, ICCAT",Atlantic/Gulf HMS FMP,"ICM, SAFE",1,"Southeast, ICCAT",Rebuilding,,,,,,,,,,,,,,,,,
Albacore,Thunnus alalunga,2023,North Pacific,North Pacific,Pacific Fisheries Management Council,PFMC,U.S. West Coast Fisheries for Highly Migratory Species / Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem,SS,4,Southwest,,1,1,1,1,NA,,,,,,,,,,,,
Opalescent inshore squid,Loligo opalescens,2006,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Coastal Pelagic Species FMP,Egg-escapement Model,1,Southwest,,,,,,,,,,,,,,,,,,
Scalloped hammerhead,Sphyrna lewini,2009,Atlantic,Atlantic and Gulf of Mexico,Highly Migratory Species; International Convention for the Conservation of Atlantic Tuna,"NOAA HMS, ICCAT",Atlantic/Gulf HMS FMP,Surplus Production Model,2,,Rebuilding,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
